Peak month,Trough month,Peak month number,Trough month number
June 1857,December 1858,690,708
October 1860,June 1861,730,738
April 1865,December 1867,784,816
June 1869,December 1870,834,852
October 1873,March 1879,886,951
March 1882,May 1885,987,1025
March 1887,April 1888,1047,1060
July 1890,May 1891,1087,1097
January 1893,June 1894,1117,1134
December 1895,June 1897,1152,1170
June 1899,December 1900,1194,1212
September 1902,August 1904,1233,1256
May 1907,June 1908,1289,1302
January 1910,January 1912,1321,1345
January 1913,December 1914,1357,1380
August 1918,March 1919,1424,1431
January 1920,July 1921,1441,1459
May 1923,July 1924,1481,1495
October 1926,November 1927,1522,1535
August 1929,March 1933,1556,1599
May 1937,June 1938,1649,1662
February 1945,October 1945,1742,1750
November 1948,October 1949,1787,1798
July 1953,May 1954,1843,1853
August 1957,April 1958,1892,1900
April 1960,February 1961,1924,1934
December 1969,November 1970,2040,2051
November 1973,March 1975,2087,2103
January 1980,July 1980,2161,2167
July 1981,November 1982,2179,2195
July 1990,March 1991,2287,2295
March 2001,November 2001,2415,2423
December 2007,June 2009,2496,2514