Month,Total Thousands,Long term percent,Total Rate,GDP
2000-01-01,5708.00,12.7,4,10002.857
2000-04-01,5481.00,10.7,3.8,10247.679
2000-07-01,5747.00,12.3,4,10319.825
2000-10-01,5534.00,11.3,3.9,10439.025
2001-01-01,6023.00,11.3,4.2,10472.879
2001-04-01,6271.00,11,4.4,10597.822
2001-07-01,6583.00,10.8,4.6,10596.294
2001-10-01,8307.00,19.7,5.7,10660.294
2002-01-01,8182.00,14.6,5.7,10788.952
2002-04-01,8599.00,16.8,5.9,10893.207
2002-07-01,8390.00,19,5.8,10992.051
2002-10-01,8307.00,19.9,5.7,11071.463
2003-01-01,8520.00,20.5,5.8,11183.507
2003-04-01,8842.00,21.9,6,11312.875
2003-07-01,9011.00,22,6.2,11567.326
2003-10-01,8732.00,22.4,6,11769.275
2004-01-01,8370.00,22.7,5.7,11920.169
2004-04-01,8170.00,22.1,5.6,12108.987
2004-07-01,8136.00,20.7,5.5,12303.340
2004-10-01,8061.00,21.5,5.5,12522.425
2005-01-01,7784.00,21.2,5.3,12761.337
2005-04-01,7672.00,21,5.2,12910.022
2005-07-01,7406.00,18.7,5,13142.873
2005-10-01,7453.00,18.9,5,13332.316
2006-01-01,7064.00,16.7,4.7,13603.933
2006-04-01,7120.00,18.6,4.7,13749.806
2006-07-01,7175.00,18.3,4.7,13867.469
2006-10-01,6727.00,15.9,4.4,14037.228
2007-01-01,7116.00,16.3,4.6,14208.569
2007-04-01,6850.00,17.4,4.5,14382.363
2007-07-01,7149.00,18.3,4.7,14535.003
2007-10-01,7237.00,17.7,4.7,14681.501
2008-01-01,7685.00,18.5,5,14651.039
2008-04-01,7637.00,17.7,5,14805.611
2008-07-01,8937.00,18.9,5.8,14835.187
2008-10-01,10074.00,22.3,6.5,14559.543
2009-01-01,12058.00,22.6,7.8,14394.547
2009-04-01,13853.00,27.1,9,14352.850
2009-07-01,14601.00,34,9.5,14420.312
2009-10-01,15352.00,36.6,10,14628.021
2010-01-01,15046.00,41.6,9.8,14721.350
2010-04-01,15325.00,45.5,9.9,14926.098
2010-07-01,14512.00,44.9,9.4,15079.917
2010-10-01,14516.00,42.6,9.4,15240.843
2011-01-01,14013.00,43.8,9.1,15285.828
2011-04-01,13957.00,43,9.1,15496.189
2011-07-01,13763.00,45.1,9,15591.850
2011-10-01,13594.00,42.6,8.8,15796.460
2012-01-01,12797.00,42.7,8.3,16019.758
2012-04-01,12646.00,40.8,8.2,16152.257
2012-07-01,12656.00,41.2,8.2,16257.151
2012-10-01,12124.00,40.6,7.8,16358.863
2013-01-01,12471.00,37.5,8,16569.591
2013-04-01,11760.00,37.8,7.6,16637.926
2013-07-01,11335.00,37.6,7.3,16848.748
2013-10-01,11136.00,35.9,7.2,17083.137
2014-01-01,10202.00,35.3,6.6,17102.932
2014-04-01,9702.00,35.6,6.2,17425.766
2014-07-01,9608.00,32.6,6.2,17719.836
2014-10-01,8990.00,31.8,5.7,17838.454
2015-01-01,8903.00,31.2,5.7,17970.422
2015-04-01,8526.00,29.4,5.4,18221.299
2015-07-01,8194.00,26,5.2,18331.093
2015-10-01,7918.00,26.7,5,18354.372
2016-01-01,7749.00,26.9,4.9,18409.130
2016-04-01,7928.00,26.1,5,18640.732
2016-07-01,7700.00,25.5,4.8,18799.648
2016-10-01,7819.00,25,4.9,18979.245
2017-01-01,7565.00,24.4,4.7,19162.550
2017-04-01,7019.00,23.2,4.4,19359.123
2017-07-01,6927.00,25.1,4.3,19588.074
2017-10-01,6588.00,24.6,4.1,19831.829